Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Closing_Price_Diff
2017-01-01,663.034,674.008,674.852,660.693,
2017-01-02,667.747,663.034,668.197,663.034,4.712999999999965
2017-01-03,655.725,667.747,668.058,646.154,-12.021999999999935
2017-01-04,655.895,655.725,657.438,649.758,0.16999999999995907
2017-01-05,661.284,655.895,664.918,653.583,5.38900000000001
2017-01-06,656.418,661.284,662.306,654.12799,-4.8659999999999854
2017-01-07,651.82899,656.418,657.72799,645.65,-4.58901000000003
2017-01-08,657.91599,651.82899,660.51,648.92499,6.086999999999989
2017-01-09,656.427,657.91599,659.631,655.16099,-1.4889899999999443
2017-01-10,657.681,656.427,659.25299,655.385,1.254000000000019
2017-01-11,636.588,657.681,659.283,635.84899,-21.093000000000075
2017-01-12,622.37299,636.588,640.38199,617.048,-14.215010000000007
2017-01-13,602.227,622.37299,628.068,601.741,-20.145989999999983
2017-01-14,556.926,602.227,609.707,485.59125,-45.30099999999993
2017-01-15,579.52374,556.926,584.28,550.404,22.59773999999993
2017-01-16,571.33875,579.52374,583.65125,561.745,-8.18498999999997
2017-01-17,575.87375,571.33875,580.3425,568.54875,4.534999999999968
2017-01-18,589.51625,575.87375,593.37125,568.57,13.642500000000041
2017-01-19,590.66125,589.51625,598.40125,585.45375,1.1449999999999818
2017-01-20,587.715,590.66125,594.3025,585.82,-2.9462499999999636
2017-01-21,586.23875,587.715,590.6925,584.09124,-1.47625000000005
2017-01-22,595.81625,586.23875,600.85625,585.30625,9.577499999999986
2017-01-23,582.9625,595.81625,598.4775,582.95,-12.853749999999991
2017-01-24,585.87375,582.9625,590.59875,582.86249,2.9112499999999955
2017-01-25,582.65,585.87375,590.08875,581.3125,-3.2237499999999955
2017-01-26,572.9625,582.65,584.6775,564.79625,-9.6875
2017-01-27,568.60749,572.9625,575.4025,561.2025,-4.355009999999993
2017-01-28,576.54125,568.60749,581.51125,566.45375,7.933760000000007
2017-01-29,573.37249,576.54125,579.29375,569.47875,-3.1687600000000202
2017-01-30,574.01625,573.37249,577.16375,572.34375,0.643760000000043
2017-01-31,574.08,574.01625,576.89125,572.54375,0.06375000000002728
2017-02-01,582.35375,574.08,583.855,573.73749,8.27374999999995
2017-02-02,580.6675,582.35375,584.9475,580.02125,-1.6862499999999727
2017-02-03,586.5075,580.6675,587.18375,579.4525,5.840000000000032
2017-02-04,578.98749,586.5075,587.71875,578.52374,-7.52001000000007
2017-02-05,575.5825,578.98749,581.37625,574.33124,-3.404989999999998
2017-02-06,576.0625,575.5825,577.49625,574.095,0.4800000000000182
2017-02-07,576.3425,576.0625,579.635,575.73875,0.2799999999999727
2017-02-08,569.78875,576.3425,576.3425,567.45,-6.553749999999923
2017-02-09,575.49749,569.78875,576.36375,569.36875,5.708739999999921
2017-02-10,572.94125,575.49749,575.68499,572.23375,-2.5562400000000025
2017-02-11,574.78125,572.94125,577.8825,572.36,1.8400000000000318
2017-02-12,573.96,574.78125,574.845,571.80125,-0.8212499999999636
